id,titulo_producto,precio_actual,porcentaje_descuento,precio_antiguo,url_imagen,url_producto
28,5/5 5 de 5 estrellas (3 valoraciones totales),2.39,20,2.99,https://www.lidl.es/assets/gcpc24ba53ae3f8482f87b7ecef86ec3fd8.jpg,https://www.lidl.es/p/crelando-bloque-de-papel-cartulina-de-colores/p100389764#searchTrackingMasterId=Product.100389764&searchTrackingTitle=Bloque%2Bde%2Bpapel%2B%252F%2Bcartulina%2Bde%2Bcolores&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100389764&searchTrackingOrigPos=1&searchTrackingPos=8&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
29,5/5 5 de 5 estrellas (3 valoraciones totales),2.39,20,2.99,,
30,5/5 5 de 5 estrellas (3 valoraciones totales),,,,,
31,Bloque de papel / cartulina de colores,,,,,
32,Top valorados CRIVIT,2.99,25,3.99,https://www.lidl.es/assets/gcpd45536ec392e4d3f8265914ccfa8acc1.jpg,https://www.lidl.es/p/crivit-camiseta-tecnica-para-hombre/p100391825#searchTrackingMasterId=Product.100391825&searchTrackingTitle=Camiseta%2Bt%25C3%25A9cnica%2Bpara%2Bhombre&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100391825&searchTrackingOrigPos=1&searchTrackingPos=45&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
33,CRIVIT Camiseta técnica para hombre,2.99,25,3.99,https://www.lidl.es/assets/gcpd45536ec392e4d3f8265914ccfa8acc1.jpg,https://www.lidl.es/p/crivit-camiseta-tecnica-para-hombre/p100391825#searchTrackingMasterId=Product.100391825&searchTrackingTitle=Camiseta%2Bt%25C3%25A9cnica%2Bpara%2Bhombre&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100391825&searchTrackingOrigPos=1&searchTrackingPos=45&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
34,CRIVIT Camiseta técnica para hombre,2.99,25,3.99,,
35,Camiseta técnica para hombre,,,,,
36,4/5 4 de 5 estrellas (4 valoraciones totales),134.99,41,228.80,https://www.lidl.es/assets/gcp8b418e1f6f414713ad31ba9a720f5ea5.jpg,https://www.lidl.es/p/bestway-piscina-steel-pro-o-366-cm/p100363729#searchTrackingMasterId=Product.100363729&searchTrackingTitle=Bestway%25C2%25AE%2BPiscina%2BSteel%2BPro%2B%25C3%2598%2B366%2Bcm&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100363729&searchTrackingOrigPos=1&searchTrackingPos=46&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
37,4/5 4 de 5 estrellas (4 valoraciones totales),134.99,41,228.80,,
38,4/5 4 de 5 estrellas (4 valoraciones totales),,,,,
39,Bestway® Piscina Steel Pro Ø 366 cm,,,,,
40,Casdon Dyson® Aspiradora infantil,4.20,13,4.83,https://www.lidl.es/assets/gcp6fc94582da9443408bdd0e77173ca17b.jpg,https://www.lidl.es/p/casdon-dyson-aspiradora-infantil/p100368129#searchTrackingMasterId=Product.100368129&searchTrackingTitle=Dyson%25C2%25AE%2BAspiradora%2Binfantil&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100368129&searchTrackingOrigPos=1&searchTrackingPos=47&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
41,Casdon Dyson® Aspiradora infantil,4.20,13,4.83,,
42,Dyson® Aspiradora infantil,,,,,
43,Top valorados Safety 1st,4.80,14,5.58,https://www.lidl.es/assets/gcp71de6ca0fc9d4e7eb0c8a2183b54efc3.jpeg,https://www.lidl.es/p/safety-1st-trona-de-madera-para-bebe/p100378351#searchTrackingMasterId=Product.100378351&searchTrackingTitle=Safety%2B1st%2BTrona%2Bde%2Bmadera%2Bpara%2Bbeb%25C3%25A9&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100378351&searchTrackingOrigPos=1&searchTrackingPos=48&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
